J;eta;CT;CP
0.001164330450343; 0.0028527196741412; 0.11664733600295912; 0.04760932049887657
0.113407694601849; 0.2442536894424683; 0.10849153278332606; 0.05037293252299459     
0.244850581568745; 0.4568842903497127; 0.09451015583538375; 0.05064929372540634     
0.361524604831494; 0.6102953784961996; 0.08363575154253977; 0.04954384891575906
0.475244855353415; 0.7069217117582742; 0.06732414510327381; 0.0452602502783763
0.600780196838652; 0.7504497741378667; 0.04479859335381116; 0.03586396939637556

