r/R(chord),c/R,r/R(pitch),twist (deg)
"[0.0406203 0.091114  0.141608  0.17      0.192101  0.22      0.24
 0.242595  0.27      0.293089  0.343582  0.394076  0.44457   0.495063
 0.545557  0.596051  0.646544  0.697038  0.747532  0.798025  0.848519
 0.899013  0.949506  0.97      0.98      1.       ]","[0.12      0.173973  0.216431  0.239225  0.253059  0.26347   0.265073
 0.264916  0.259584  0.253021  0.236827  0.218939  0.203541  0.187424
 0.173015  0.162119  0.149205  0.137799  0.127539  0.119107  0.111396
 0.102772  0.0949277 0.089111  0.0830219 0.0488323]","[0.        0.05      0.0761062 0.099115  0.123894  0.146903  0.168142
 0.19646   0.217699  0.240708  0.265487  0.288496  0.311504  0.338053
 0.359292  0.382301  0.40885   0.430088  0.453097  0.476106  0.500885
 0.523894  0.550442  0.571681  0.59469   0.621239  0.644248  0.665487
 0.692035  0.715044  0.736283  0.762832  0.785841  0.80708   0.833628
 0.856637  0.877876  0.904425  0.927434  0.948673  0.975221  1.       ]","[13.      15.5     17.6022  18.7175  19.2751  19.684   19.7955  19.7955
 19.4981  19.052   18.6059  18.1599  17.5651  16.9331  16.4498  15.9665
 15.4461  15.0372  14.5539  14.0335  13.5502  13.0669  12.5836  12.1747
 11.6914  11.2454  10.6877  10.2045   9.72119  9.23792  8.829    8.42007
  8.01115  7.60223  7.26766  7.08178  6.82156  6.63569  6.48699  6.41264
  6.22677  5.40892]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.14588227 0.17457658 0.19377624 0.20492917 0.2093813
 0.20837656 0.20305688 0.19446222 0.18353054 0.17109779 0.15789796
 0.14456302 0.13162295 0.11950576 0.10853745 0.09894203 0.09084152
 0.08425595 0.07910335 0.07519976 0.07225924 0.06989384 0.06761364
 0.0648267  0.06083911]","[0.00492627 0.00987222 0.01708616 0.0286015  0.04583298 0.06957671
 0.10001014 0.13669207 0.17856265 0.22397947 0.27111723 0.3183794
 0.36453172 0.40879157 0.4508353  0.49079822 0.52927463 0.56729894
 0.60615913 0.64722411 0.69192959 0.74177814 0.7983391  0.86324867
 0.93820984 1.02499244]","[12.9423458  13.21105984 13.86990188 14.86343619 16.10448977 17.47415232
 18.82177622 19.96497659 20.68963121 20.7638261  20.09234777 18.85394568
 17.33662381 15.77230179 14.3233028  13.08235358 12.07258443 11.25142592
 10.54927263  9.90524103  9.27009511  8.60624641  7.88775403  7.10032462
  6.24131236  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.18842332 0.24989586 0.29373295 0.32285707 0.33994124
 0.34740905 0.34743461 0.34194263 0.33260834 0.32085752 0.30786653
 0.29456224 0.28162211 0.26947414 0.25829687 0.24801942 0.23832142
 0.22863311 0.21813522 0.20575908 0.19018654 0.16985004 0.14293252
 0.10736752 0.06083911]","[0.00492627 0.00987222 0.01708616 0.0286015  0.04583298 0.06957671
 0.10001014 0.13669207 0.17856265 0.22397947 0.27111723 0.3183794
 0.36453172 0.40879157 0.4508353  0.49079822 0.52927463 0.56729894
 0.60615913 0.64722411 0.69192959 0.74177814 0.7983391  0.86324867
 0.93820984 1.02499244]","[12.9423458  13.70107136 15.44028638 17.62572881 19.83228723 21.7440009
 23.15405975 23.96480437 24.18772602 23.93619819 23.34495453 22.49236678
 21.42503823 20.18737794 18.82401763 17.3798117  15.89983722 14.42884157
 13.00576182 11.65865606 10.40428865  9.24813021  8.18435769  7.19585427
  6.25420945  5.31971899]"
"[0.03805239 0.0676741  0.0992482  0.13257362 0.16745793 0.20371734
 0.2411767  0.27966949 0.31903781 0.35913242 0.39981271 0.44094668
 0.48241101 0.52409097 0.5658805  0.60768215 0.64940713 0.69097526
 0.73231501 0.77336348 0.81406641 0.85437818 0.89426178 0.93368887
 0.97263973 1.01110325]","[0.1061434  0.14864709 0.17986894 0.20178171 0.21617944 0.22467748
 0.22871246 0.22954229 0.22824618 0.22572462 0.2226994  0.21971359
 0.21713155 0.21513894 0.21374269 0.21277103 0.21187349 0.21052086
 0.20800525 0.20344003 0.19575989 0.18372079 0.16589997 0.14069599
 0.10632866 0.06083911]","[0.00492627 0.00987222 0.01708616 0.0286015  0.04583298 0.06957671
 0.10001014 0.13669207 0.17856265 0.22397947 0.27111723 0.3183794
 0.36453172 0.40879157 0.4508353  0.49079822 0.52927463 0.56729894
 0.60615913 0.64722411 0.69192959 0.74177814 0.7983391  0.86324867
 0.93820984 1.02499244]","[12.9423458  13.69788434 15.42610086 17.59160692 19.76953777 21.64555241
 23.01583356 23.78708768 23.97654494 23.70435281 23.10930969 22.26774654
 21.2214228  20.01047072 18.67608767 17.26053614 15.80714376 14.35971956
 12.9567621  11.62610297 10.3844685   9.23747975  8.17965251  7.19439732
  6.25401948  5.31971899]"
